,rewards,discount,learning rate
205,-172.2403489467764,0.995,0.15
206,-94.52888385391579,0.995,0.15
207,-89.08650827116605,0.995,0.15
208,-305.7183770554928,0.995,0.15
209,-112.4037911318513,0.995,0.15
210,-273.24114100522434,0.995,0.15
211,-19.25130052999674,0.995,0.15
212,-157.01259030175112,0.995,0.15
213,-307.5447970060776,0.995,0.15
214,-523.0285356850145,0.995,0.15
215,-130.07618146659246,0.995,0.15
216,-251.33086850057353,0.995,0.15
217,-234.19777953410542,0.995,0.15
218,-347.10031027592254,0.995,0.15
219,-333.96052070319183,0.995,0.15
220,-229.53152062162724,0.995,0.15
221,-331.31699129487805,0.995,0.15
222,-259.6057363642079,0.995,0.15
223,-164.67480834964408,0.995,0.15
224,-165.43837777756232,0.995,0.15
225,-86.67048507480266,0.995,0.15
226,-259.76932731331755,0.995,0.15
227,-83.02281373421562,0.995,0.15
228,-87.48817624948865,0.995,0.15
229,-187.0640896937896,0.995,0.15
230,-164.69604386143436,0.995,0.15
231,-302.1245851685421,0.995,0.15
232,-226.0567828939972,0.995,0.15
233,-133.02217759121328,0.995,0.15
234,-315.4443297038101,0.995,0.15
235,-318.91606738322434,0.995,0.15
236,-234.2022899958045,0.995,0.15
237,-189.1421859481432,0.995,0.15
238,-171.7234485677105,0.995,0.15
239,-119.89999664644863,0.995,0.15
240,-137.15467571023703,0.995,0.15
241,-113.05565038007974,0.995,0.15
242,-258.9339426010537,0.995,0.15
243,-76.30258439911626,0.995,0.15
244,-50.61071943096796,0.995,0.15
245,-252.05418725634883,0.995,0.15
246,-40.428474632466866,0.995,0.15
247,-209.4697971868713,0.995,0.15
248,-274.0220904517928,0.995,0.15
249,-9.719797701377175,0.995,0.15
250,-204.32253473584194,0.995,0.15
251,-125.64555364359097,0.995,0.15
252,-254.3497626983058,0.995,0.15
253,-28.25604513261166,0.995,0.15
254,-274.4687997827464,0.995,0.15
255,-305.56920333759854,0.995,0.15
256,-35.49752327898537,0.995,0.15
257,-96.81985380780385,0.995,0.15
258,-213.3561623633231,0.995,0.15
259,-441.8403676498426,0.995,0.15
260,-340.94998029066903,0.995,0.15
261,-120.23603185095114,0.995,0.15
262,-138.15895260200648,0.995,0.15
263,-147.1545062853064,0.995,0.15
264,-333.56473437005366,0.995,0.15
265,-150.115956925828,0.995,0.15
266,-93.07854910603733,0.995,0.15
267,-234.73494348889636,0.995,0.15
268,-206.35020121592203,0.995,0.15
269,-350.22401088203463,0.995,0.15
270,-283.7368051697764,0.995,0.15
271,-281.7317043403946,0.995,0.15
272,-556.7860119897466,0.995,0.15
273,-91.61611757692127,0.995,0.15
274,-110.51086228182669,0.995,0.15
275,-98.08718874016566,0.995,0.15
276,-111.3901318939395,0.995,0.15
277,-394.9549025917127,0.995,0.15
278,-106.45518561844922,0.995,0.15
279,-208.0887132304581,0.995,0.15
280,-230.25769219416256,0.995,0.15
281,-220.75220913002738,0.995,0.15
282,-121.34624267952584,0.995,0.15
283,-261.9724273165342,0.995,0.15
284,-383.28278888541394,0.995,0.15
285,-121.74660192539196,0.995,0.15
286,-198.27663801488137,0.995,0.15
287,-188.4844568771346,0.995,0.15
288,-132.16105029494253,0.995,0.15
289,-251.2736006831077,0.995,0.15
290,-178.26050675967093,0.995,0.15
291,-345.29593497647875,0.995,0.15
292,-165.92576971879964,0.995,0.15
293,-317.7109357806713,0.995,0.15
294,-213.410623554302,0.995,0.15
295,27.1515751945808,0.995,0.15
296,-243.8491912148778,0.995,0.15
297,-108.71221766792196,0.995,0.15
298,-139.5130351403566,0.995,0.15
299,-130.90485748573076,0.995,0.15
300,-209.95921744683966,0.995,0.15
301,-140.95625849802178,0.995,0.15
302,-421.6030130339767,0.995,0.15
303,-186.4805811350359,0.995,0.15
304,-98.31688694956235,0.995,0.15
305,-225.858630762768,0.995,0.15
306,-114.18142192237931,0.995,0.15
307,-112.13067349962776,0.995,0.15
308,-189.72711588320132,0.995,0.15
309,-344.1359439113452,0.995,0.15
310,-354.01042960827243,0.995,0.15
311,-137.8763963123547,0.995,0.15
312,-87.84586543070225,0.995,0.15
313,-99.8209134024655,0.995,0.15
314,-263.89689079173945,0.995,0.15
315,-94.33964439004049,0.995,0.15
316,-108.9226354424737,0.995,0.15
317,-77.96080198402521,0.995,0.15
318,-70.59157763692652,0.995,0.15
319,-162.4375936587304,0.995,0.15
